id,piso,x_cm,y_cm,z_cm,ux_mm,uy_mm,uz_mm,u_planta_mm,rx_rad,ry_rad,rz_rad
1,Subterraneo,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Subterraneo,0,725.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Subterraneo,0,1615.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Subterraneo,-1000,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Subterraneo,-1000,725.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Subterraneo,-1000,1615.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Piso 1,0,0,356.0,-0.003871,-0.002805,0.0,0.004781,0.0,0.0,9.42e-08
8,Piso 1,0,725.0,356.0,-0.004554,-0.002805,0.0,0.005349,0.0,0.0,9.42e-08
9,Piso 1,0,1615.0,356.0,-0.005393,-0.002805,0.0,0.006079,0.0,0.0,9.42e-08
10,Piso 1,-1000,0,356.0,-0.003871,-0.003748,0.0,0.005388,0.0,0.0,9.42e-08
11,Piso 1,-1000,725.0,356.0,-0.004554,-0.003748,0.0,0.005898,0.0,0.0,9.42e-08
12,Piso 1,-1000,1615.0,356.0,-0.005393,-0.003748,0.0,0.006568,0.0,0.0,9.42e-08
13,Piso 1,-2000,0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Piso 1,-2000,725.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,Piso 1,-2000,1615.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,Piso 1,-3000,0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,Piso 1,-3000,725.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,Piso 1,-3000,1615.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,Piso 1,-4000,0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,Piso 1,-4000,725.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,Piso 1,-4000,1615.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,Piso 1,-4500,0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,Piso 1,-4500,725.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,Piso 1,-4500,1615.0,356.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,Piso 2,0,0,712.0,-0.008429,0.003624,-0.196947,0.009176,-2.38699e-05,-3.0505e-06,1.01e-08
26,Piso 2,0,725.0,712.0,-0.008502,0.003624,-0.347102,0.009243,-3.58521e-05,-2.26169e-05,1.01e-08
27,Piso 2,0,1615.0,712.0,-0.008592,0.003624,-0.247376,0.009325,5.32878e-05,-7.7606e-06,1.01e-08
28,Piso 2,-1000,-412.0,712.0,-0.008388,0.003523,0.0,0.009098,0.0,0.0,1.01e-08
29,Piso 2,-1000,0,712.0,-0.008429,0.003523,-0.289789,0.009136,-4.55907e-05,-4.37478e-05,1.01e-08
30,Piso 2,-1000,725.0,712.0,-0.008502,0.003523,-0.556911,0.009204,-3.73312e-05,-6.66689e-05,1.01e-08
31,Piso 2,-1000,1615.0,712.0,-0.008592,0.003523,-0.393627,0.009286,6.17707e-05,-4.31488e-05,1.01e-08
32,Piso 2,-1500,0,712.0,-0.008429,0.003473,0.0,0.009117,0.0,0.0,1.01e-08
33,Piso 2,-1500,725.0,712.0,-0.008502,0.003473,0.0,0.009185,0.0,0.0,1.01e-08
34,Piso 2,-1500,1615.0,712.0,-0.008592,0.003473,0.0,0.009267,0.0,0.0,1.01e-08
35,Piso 2,-1749.0,-412.0,712.0,-0.008388,0.003448,0.0,0.009069,0.0,0.0,1.01e-08
36,Piso 2,-1749.0,0,712.0,-0.008429,0.003448,0.0,0.009107,0.0,0.0,1.01e-08
37,Piso 2,-1749.0,725.0,712.0,-0.008502,0.003448,0.0,0.009175,0.0,0.0,1.01e-08
38,Piso 2,-2000,0,712.0,-0.008429,0.003423,0.0,0.009098,0.0,0.0,1.01e-08
39,Piso 2,-2000,725.0,712.0,-0.008502,0.003423,0.0,0.009166,0.0,0.0,1.01e-08
40,Piso 2,-2000,1615.0,712.0,-0.008592,0.003423,0.0,0.009249,0.0,0.0,1.01e-08
41,Piso 2,-2500,0,712.0,-0.008429,0.003373,0.0,0.009079,0.0,0.0,1.01e-08
42,Piso 2,-2500,725.0,712.0,-0.008502,0.003373,0.0,0.009147,0.0,0.0,1.01e-08
43,Piso 2,-2500,1615.0,712.0,-0.008592,0.003373,0.0,0.00923,0.0,0.0,1.01e-08
44,Piso 2,-3000,0,712.0,-0.008429,0.003322,0.0,0.009061,0.0,0.0,1.01e-08
45,Piso 2,-3000,725.0,712.0,-0.008502,0.003322,0.0,0.009129,0.0,0.0,1.01e-08
46,Piso 2,-3000,1615.0,712.0,-0.008592,0.003322,0.0,0.009212,0.0,0.0,1.01e-08
47,Piso 2,-3500,0,712.0,-0.008429,0.003272,0.0,0.009042,0.0,0.0,1.01e-08
48,Piso 2,-3500,725.0,712.0,-0.008502,0.003272,0.0,0.00911,0.0,0.0,1.01e-08
49,Piso 2,-3500,1615.0,712.0,-0.008592,0.003272,0.0,0.009194,0.0,0.0,1.01e-08
50,Piso 2,-4000,0,712.0,-0.008429,0.003222,0.0,0.009024,0.0,0.0,1.01e-08
51,Piso 2,-4000,725.0,712.0,-0.008502,0.003222,0.0,0.009092,0.0,0.0,1.01e-08
52,Piso 2,-4000,1615.0,712.0,-0.008592,0.003222,0.0,0.009176,0.0,0.0,1.01e-08
53,Piso 2,-4500,0,712.0,-0.008429,0.003171,0.0,0.009006,0.0,0.0,1.01e-08
54,Piso 2,-4500,725.0,712.0,-0.008502,0.003171,0.0,0.009075,0.0,0.0,1.01e-08
55,Piso 2,-4500,1615.0,712.0,-0.008592,0.003171,0.0,0.009159,0.0,0.0,1.01e-08
56,Piso 3,0,0,1068.0,-0.014978,0.036407,-0.346494,0.039368,-3.45815e-05,-8.2379e-06,-1.908e-07
57,Piso 3,0,725.0,1068.0,-0.013595,0.036407,-0.608833,0.038863,-3.72849e-05,-2.84086e-05,-1.908e-07
58,Piso 3,0,1615.0,1068.0,-0.011897,0.036407,-0.433348,0.038302,3.71134e-05,-1.39383e-05,-1.908e-07
59,Piso 3,-1000,-412.0,1068.0,-0.015765,0.038315,0.0,0.041432,0.0,0.0,-1.908e-07
60,Piso 3,-1000,0,1068.0,-0.014978,0.038315,-0.489099,0.041139,-6.2818e-05,-4.00416e-05,-1.908e-07
61,Piso 3,-1000,725.0,1068.0,-0.013595,0.038315,-0.974362,0.040656,-4.24619e-05,-5.88012e-05,-1.908e-07
62,Piso 3,-1000,1615.0,1068.0,-0.011897,0.038315,-0.68936,0.04012,4.70263e-05,-3.6758e-05,-1.908e-07
63,Piso 3,-1500,0,1068.0,-0.014978,0.039269,0.0,0.042029,0.0,0.0,-1.908e-07
64,Piso 3,-1500,725.0,1068.0,-0.013595,0.039269,0.0,0.041556,0.0,0.0,-1.908e-07
65,Piso 3,-1500,1615.0,1068.0,-0.011897,0.039269,0.0,0.041032,0.0,0.0,-1.908e-07
66,Piso 3,-1749.0,-412.0,1068.0,-0.015765,0.039745,0.0,0.042757,0.0,0.0,-1.908e-07
67,Piso 3,-1749.0,0,1068.0,-0.014978,0.039745,0.0,0.042473,0.0,0.0,-1.908e-07
68,Piso 3,-1749.0,725.0,1068.0,-0.013595,0.039745,0.0,0.042005,0.0,0.0,-1.908e-07
69,Piso 3,-2000,-246.0,1068.0,-0.015448,0.040223,0.0,0.043088,0.0,0.0,-1.908e-07
70,Piso 3,-2000,0,1068.0,-0.014978,0.040223,-0.264374,0.042922,-7.98032e-05,1.23397e-05,-1.908e-07
71,Piso 3,-2000,725.0,1068.0,-0.013595,0.040223,-0.436729,0.042459,-1.90131e-05,1.89046e-05,-1.908e-07
72,Piso 3,-2000,1615.0,1068.0,-0.011897,0.040223,-0.302756,0.041946,1.38381e-05,1.05977e-05,-1.908e-07
73,Piso 3,-2500,-246.0,1068.0,-0.015448,0.041177,0.0,0.04398,0.0,0.0,-1.908e-07
74,Piso 3,-2500,0,1068.0,-0.014978,0.041177,0.0,0.043817,0.0,0.0,-1.908e-07
75,Piso 3,-2500,725.0,1068.0,-0.013595,0.041177,0.0,0.043364,0.0,0.0,-1.908e-07
76,Piso 3,-2500,1615.0,1068.0,-0.011897,0.041177,0.0,0.042862,0.0,0.0,-1.908e-07
77,Piso 3,-3000,-246.0,1068.0,-0.015448,0.042132,0.0,0.044874,0.0,0.0,-1.908e-07
78,Piso 3,-3000,0,1068.0,-0.014978,0.042132,-0.260302,0.044715,-8.35252e-05,2.316e-07,-1.908e-07
79,Piso 3,-3000,725.0,1068.0,-0.013595,0.042132,-0.431965,0.044271,-1.27675e-05,-5.8182e-06,-1.908e-07
80,Piso 3,-3000,1615.0,1068.0,-0.011897,0.042132,-0.300006,0.043779,1.0984e-05,-3.6574e-06,-1.908e-07
81,Piso 3,-3500,0,1068.0,-0.014978,0.043086,0.0,0.045615,0.0,0.0,-1.908e-07
82,Piso 3,-3500,725.0,1068.0,-0.013595,0.043086,0.0,0.04518,0.0,0.0,-1.908e-07
83,Piso 3,-3500,1615.0,1068.0,-0.011897,0.043086,0.0,0.044698,0.0,0.0,-1.908e-07
84,Piso 3,-4000,0,1068.0,-0.014978,0.04404,-0.218134,0.046517,-3.84379e-05,3.23147e-05,-1.908e-07
85,Piso 3,-4000,725.0,1068.0,-0.013595,0.04404,-0.36076,0.04609,-1.65555e-05,6.8306e-05,-1.908e-07
86,Piso 3,-4000,1615.0,1068.0,-0.011897,0.04404,-0.249386,0.045618,8.9411e-06,4.28707e-05,-1.908e-07
87,Piso 3,-4500,0,1068.0,-0.014978,0.044994,-0.128798,0.047421,-2.78567e-05,9.1486e-06,-1.908e-07
88,Piso 3,-4500,725.0,1068.0,-0.013595,0.044994,-0.204104,0.047003,-1.48151e-05,2.09392e-05,-1.908e-07
89,Piso 3,-4500,1615.0,1068.0,-0.011897,0.044994,-0.144648,0.04654,-2.3361e-06,1.31217e-05,-1.908e-07
90,Piso 4,0,0,1424.0,-0.022665,0.103682,-0.448147,0.10613,-3.54875e-05,8.9667e-06,-6.096e-07
91,Piso 4,0,725.0,1424.0,-0.018245,0.103682,-0.785708,0.105275,-4.56721e-05,-2.7074e-06,-6.096e-07
92,Piso 4,0,1615.0,1424.0,-0.012819,0.103682,-0.55718,0.104471,2.79464e-05,8.2731e-06,-6.096e-07
93,Piso 4,-1000,-246.0,1424.0,-0.024164,0.109778,0.0,0.112406,0.0,0.0,-6.096e-07
94,Piso 4,-1000,0,1424.0,-0.022665,0.109778,-0.602124,0.112094,-0.0001698872,-4.02261e-05,-6.096e-07
95,Piso 4,-1000,725.0,1424.0,-0.018245,0.109778,-1.253851,0.111284,-4.67591e-05,-7.01674e-05,-6.096e-07
96,Piso 4,-1000,1615.0,1424.0,-0.012819,0.109778,-0.886575,0.110524,3.5286e-05,-4.64757e-05,-6.096e-07
97,Piso 4,-1220.0,-246.0,1424.0,-0.024164,0.11112,0.0,0.113717,0.0,0.0,-6.096e-07
98,Piso 4,-1220.0,0,1424.0,-0.022665,0.11112,0.0,0.113407,0.0,0.0,-6.096e-07
99,Piso 4,-1220.0,725.0,1424.0,-0.018245,0.11112,0.0,0.112607,0.0,0.0,-6.096e-07
100,Piso 4,-1500,0,1424.0,-0.022665,0.112827,0.0,0.11508,0.0,0.0,-6.096e-07
101,Piso 4,-1500,725.0,1424.0,-0.018245,0.112827,0.0,0.114292,0.0,0.0,-6.096e-07
102,Piso 4,-1500,1615.0,1424.0,-0.012819,0.112827,0.0,0.113552,0.0,0.0,-6.096e-07
103,Piso 4,-2000,-412.0,1424.0,-0.025176,0.115875,0.0,0.118578,0.0,0.0,-6.096e-07
